timestamp,voltaje
0.006,2.638
0.012,2.630
0.019,2.630
0.025,2.627
0.031,2.624
0.037,2.627
0.043,2.626
0.049,2.623
0.055,2.626
0.062,2.627
0.068,2.624
0.074,2.625
0.080,2.628
0.086,2.625
0.092,2.624
0.099,2.628
0.104,2.626
0.110,2.623
0.116,2.626
0.122,2.626
0.127,2.623
0.133,2.624
0.139,2.627
0.145,2.625
0.151,2.623
0.156,2.626
0.162,2.626
0.168,2.623
0.174,2.624
0.179,2.627
0.185,2.625
0.191,2.623
0.197,2.626
0.203,2.627
0.209,2.624
0.215,2.626
0.222,2.628
0.228,2.625
0.234,2.626
0.240,2.628
0.246,2.625
0.252,2.625
0.258,2.628
0.265,2.626
0.271,2.624
0.277,2.627
0.283,2.627
0.289,2.624
0.295,2.626
0.301,2.628
0.307,2.624
0.314,2.625
0.320,2.628
0.326,2.625
0.332,2.624
0.338,2.628
0.344,2.626
0.350,2.624
0.357,2.627
0.363,2.627
0.369,2.624
0.375,2.625
0.381,2.627
0.387,2.624
0.393,2.624
0.400,2.627
0.406,2.625
0.412,2.623
0.418,2.627
0.424,2.626
0.430,2.623
0.436,2.625
0.442,2.626
0.449,2.623
0.455,2.624
0.461,2.626
0.467,2.623
0.473,2.623
0.479,2.626
0.485,2.624
0.491,2.622
0.498,2.625
0.504,2.625
0.510,2.622
0.516,2.624
0.522,2.625
0.528,2.622
0.534,2.623
0.540,2.626
0.547,2.623
0.553,2.622
0.559,2.625
0.565,2.623
0.571,2.621
0.577,2.624
0.583,2.624
0.589,2.621
0.596,2.623
0.602,2.624
0.608,2.621
0.614,2.621
0.620,2.624
0.626,2.621
0.632,2.619
0.638,2.622
0.645,2.620
0.651,2.617
0.657,2.620
0.663,2.620
0.669,2.616
0.675,2.618
0.681,2.620
0.687,2.616
0.694,2.616
0.700,2.619
0.706,2.616
0.712,2.615
0.718,2.618
0.724,2.617
0.730,2.614
0.737,2.616
0.743,2.617
0.749,2.613
0.755,2.615
0.761,2.617
0.767,2.614
0.773,2.613
0.779,2.616
0.785,2.614
0.792,2.612
0.798,2.615
0.804,2.615
0.810,2.612
0.816,2.614
0.822,2.615
0.828,2.612
0.834,2.613
0.841,2.616
0.847,2.613
0.853,2.612
0.859,2.615
0.865,2.614
0.871,2.611
0.877,2.615
0.883,2.615
0.890,2.612
0.896,2.614
0.902,2.616
0.908,2.613
0.914,2.613
0.920,2.617
0.926,2.615
0.933,2.614
0.939,2.619
0.945,2.618
0.951,2.616
0.957,2.619
0.963,2.621
0.969,2.617
0.976,2.620
0.982,2.622
0.988,2.619
0.994,2.619
1.000,2.623
1.006,2.620
1.012,2.619
1.018,2.623
1.025,2.622
1.031,2.619
1.037,2.622
1.043,2.623
1.049,2.620
1.055,2.621
1.061,2.624
1.067,2.621
1.074,2.620
1.080,2.624
1.086,2.622
1.092,2.620
1.098,2.623
1.104,2.623
1.110,2.620
1.116,2.622
1.123,2.624
1.129,2.620
1.135,2.621
1.141,2.624
1.147,2.621
1.153,2.620
1.159,2.624
1.165,2.622
1.171,2.620
1.178,2.623
1.184,2.623
1.190,2.620
1.196,2.622
1.202,2.624
1.208,2.620
1.214,2.621
1.220,2.624
1.227,2.621
1.233,2.620
1.239,2.624
1.245,2.623
1.251,2.620
1.257,2.623
1.263,2.624
1.270,2.620
1.276,2.622
1.282,2.624
1.288,2.621
1.294,2.621
1.300,2.624
1.306,2.622
1.312,2.620
1.319,2.623
1.325,2.623
1.331,2.620
1.337,2.623
1.343,2.624
1.349,2.620
1.355,2.622
1.361,2.624
1.368,2.621
1.374,2.621
1.380,2.624
1.386,2.622
1.392,2.620
1.398,2.623
1.404,2.623
1.411,2.620
1.417,2.623
1.423,2.624
1.429,2.620
1.435,2.621
1.441,2.624
1.447,2.621
1.453,2.620
1.460,2.624
1.466,2.622
1.472,2.620
1.478,2.623
1.484,2.623
1.490,2.620
1.496,2.622
1.502,2.624
1.509,2.621
1.515,2.621
1.521,2.624
1.527,2.621
1.533,2.620
1.539,2.624
1.545,2.622
1.551,2.620
1.558,2.623
1.564,2.623
1.570,2.620
1.576,2.622
1.582,2.624
1.588,2.620
1.594,2.620
1.600,2.624
1.607,2.621
1.613,2.620
1.619,2.623
1.625,2.622
1.631,2.619
1.637,2.622
1.643,2.623
1.649,2.620
1.656,2.621
1.662,2.623
1.668,2.620
1.674,2.620
1.680,2.623
1.686,2.621
1.692,2.619
1.699,2.622
1.705,2.622
1.711,2.619
1.717,2.621
1.723,2.623
1.729,2.619
1.735,2.620
1.741,2.623
1.748,2.620
1.754,2.619
1.760,2.623
1.766,2.621
1.772,2.619
1.778,2.622
1.784,2.622
1.791,2.619
1.797,2.621
1.803,2.623
1.809,2.619
1.815,2.620
1.821,2.623
1.827,2.620
1.833,2.619
1.840,2.622
1.846,2.621
1.852,2.619
1.858,2.622
1.864,2.622
1.870,2.619
1.876,2.620
1.882,2.623
1.889,2.619
1.895,2.620
1.901,2.623
1.907,2.620
1.913,2.619
1.919,2.622
1.925,2.621
1.932,2.618
1.938,2.621
1.944,2.622
1.950,2.619
1.956,2.620
1.962,2.623
1.968,2.620
1.974,2.619
1.980,2.622
1.987,2.620
1.993,2.618
1.999,2.622
2.005,2.622
2.011,2.618
2.017,2.621
2.023,2.622
2.029,2.619
2.036,2.620
2.042,2.623
2.048,2.620
2.054,2.619
2.060,2.622
2.066,2.621
2.072,2.618
2.078,2.621
2.084,2.622
2.091,2.618
2.097,2.620
2.103,2.622
2.109,2.619
2.115,2.619
2.121,2.622
2.127,2.620
2.133,2.618
2.140,2.622
2.146,2.621
2.152,2.618
